,address,latitude,link,longitude,name,price,tags,isGluten
135,340 Longwood Ave,42.338171,/restaurants/au-bon-pain-11/,-71.106228,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",0
136,1360 Massachussetts Ave,42.372953,/restaurants/au-bon-pain-18/,-71.118635,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
137,1 International Pl,42.357244,/restaurants/au-bon-pain-9/,-71.056223,Au Bon Pain,$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
138,300 Longwood Ave,42.337369,/restaurants/au-bon-pain-harvard-vanguard/,-71.10535,Au Bon Pain (Harvard Vanguard),$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
139,53 State St,42.358736,/restaurants/au-bon-pain-kiosk/,-71.056232,Au Bon Pain (Kiosk #1),$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
140,53 State St,42.358897,/restaurants/au-bon-pain-10/,-71.056652,Au Bon Pain (Kiosk #2),$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
141,1 Design Center Pl,42.3439,/restaurants/au-bon-pain-kiosk-2/,-71.034298,Au Bon Pain (Kiosk),$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
142,300 Congress St,42.352541,/restaurants/au-bon-pain-milk-bottle/,-71.052268,Au Bon Pain (Milk Bottle),$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
143,1 Harborside Dr,42.363179,/restaurants/au-bon-pain-terminal-a/,-71.024374,Au Bon Pain (Terminal A),$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
144,1 Harborside Dr,42.365613,/restaurants/au-bon-pain-terminal-b/,-71.00956,Au Bon Pain (Terminal B),$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
145,1 Harborside Dr,42.363179,/restaurants/au-bon-pain-terminal-c-kiosk/,-71.024374,Au Bon Pain (Terminal C Kiosk),$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
146,1 Harborside Dr,42.365613,/restaurants/au-bon-pain-terminal-c/,-71.00956,Au Bon Pain (Terminal C),$,"setTargeting('cuisine', ['sandwiches', 'bakeries', 'cafes-coffeehouses']);",1
